num,imdb_id,number_of _posters,total_box_office,with_adjusted_box_office,total_label
2265,tt0421073,25,65457811,72044080,3
2266,tt1125849,29,46634275,51847552,2
2267,tt0119578,3,2936611,5738862,0
2268,tt0153464,2,3740113,5688291,0
2269,tt0426592,20,73026302,78712307,3
2270,tt1175491,31,28575778,34941619,1
2271,tt0398872,5,3255426,4554246,0
2272,tt1023111,24,39319801,45515224,1
2273,tt0988047,23,27882226,33748543,1
2274,tt0497465,42,104504817,110272241,5
2275,tt0243017,7,2892011,4570897,0
2276,tt0959337,29,79604820,84176606,3
2277,tt0364970,31,70216497,75833947,3
2278,tt0248126,13,26372000,28045707,1
2279,tt0443701,35,68170792,73401802,3
2280,tt0119620,2,2835851,5054900,0
2281,tt0951216,13,25044057,30196866,1
2282,tt0329388,8,9564199,10819471,0
2283,tt0373175,1,3623958,4897353,0
2284,tt0463345,3,7622028,8659576,0
2285,tt0831887,39,39006188,43834006,1
2286,tt0456521,2,2779545,3623907,0
2287,tt0465502,14,31013349,35877568,1
2288,tt0168808,2,2750064,5259712,0
2289,tt1046163,19,34787111,39578542,1
2290,tt0328962,3,2744253,4236818,0
2291,tt0118694,17,13834044,15432923,0
2292,tt0870111,19,28452945,32438202,1
2293,tt0352994,7,4443069,5526464,0
2294,tt0846308,10,17657973,22060163,0
2295,tt0963794,25,22910563,27256637,1
2296,tt0411061,29,32955399,37176322,1
2297,tt0374563,10,9459740,10275931,0
2298,tt1027862,17,17589867,21650984,0
2299,tt0482572,24,43440721,47364940,2
2300,tt0814022,20,46598133,50412011,2
2301,tt0486321,17,43530281,47050617,2
2302,tt0374900,11,46122713,65912830,2
2303,tt0441048,3,39643586,40617969,1
2304,tt0119832,7,2642718,5164522,0
2305,tt1213644,11,36720752,40258599,1
2306,tt0254455,28,2628241,4057714,0
2307,tt0092090,2,2627016,3756152,0
2308,tt1275521,2,2626308,3197348,0
2309,tt0391024,2,2724826,3875763,0
2310,tt0115744,14,2589188,5059914,0
2311,tt0864761,16,45160110,48612710,2
2312,tt0301414,8,2541320,3780371,0
2313,tt1127715,8,7036422,7533608,0
2314,tt0309987,28,15307337,16432424,0
2315,tt1045655,7,15318257,18669497,0
2316,tt1146325,4,29339790,29968902,1
2317,tt0995039,24,29958228,33290824,1
2318,tt0118818,3,2506039,4897414,0
2319,tt0815241,11,13881317,17125044,0
2320,tt0089015,4,2492088,6025337,0
2321,tt0210727,5,2487878,3942333,0
2322,tt1084950,18,17475475,20533071,0
2323,tt0264578,2,2452566,3845215,0
2325,tt0796307,3,23271741,26410507,1
2326,tt1275863,6,23657432,24133728,1
2327,tt0449951,13,41430631,42023904,2
2328,tt1111948,4,12345883,15354844,0
2329,tt0765476,21,50648806,53591398,2
2330,tt0374546,28,6502364,7560486,0
2331,tt1091751,5,11778396,14648208,0
2332,tt0118926,4,2374732,3532556,0
2333,tt0799934,14,30894247,33680260,1
2334,tt0114134,5,2372744,4636925,0
2335,tt0120643,1,2361632,4344924,0
2336,tt0483607,31,21621188,24365715,1
2337,tt0489281,12,11229035,13950373,0
2338,tt0892375,2,26170402,29052243,1
2340,tt0857191,12,19174817,21525006,0
2342,tt1236254,5,2310680,3164392,0
2343,tt0914798,29,44083403,46328396,2
2344,tt0169388,1,2297017,4055947,0
2345,tt0126036,1,2287639,4470612,0
2346,tt1135985,29,10412485,12507250,0
2347,tt0126604,5,2281761,4364049,0
2348,tt1042877,11,8942516,10985484,0
2349,tt0119590,6,2280573,4371969,0
2350,tt0180679,2,2276406,3607653,0
2351,tt0450314,37,10157534,12164672,0
2352,tt0460791,21,8510,8510,0
2353,tt0449851,14,2272329,2962612,0
2354,tt0118851,9,2265328,4332618,0
2355,tt1046997,13,9676497,11650201,0
2356,tt0205873,11,16252970,17570517,0
2357,tt1226774,16,7788804,8257008,0
2358,tt0052311,35,2257349,4299385,0
2359,tt0970411,36,17831558,19793761,0
2360,tt0780536,35,34533783,36478558,1
2361,tt0785007,15,21596074,23483332,1
2362,tt0770810,6,8607815,10370552,0
2363,tt0996382,11,17252287,19016823,0
2364,tt0489282,5,6947084,8586322,0
2365,tt1031969,15,8767338,10365257,0
2366,tt0307385,6,3368550,4441230,0
2367,tt0120823,4,2197921,4203243,0
2368,tt0362225,15,33954018,35496173,1
2369,tt1724965,5,292824,321494,0
2370,tt0425413,18,33512260,35008896,1
2371,tt0416044,26,27147349,28569814,1
2372,tt0482088,17,26980663,27520322,1
2373,tt0385635,2,2717807,3679599,0
2374,tt0120514,8,2157701,4126774,0
2375,tt1032755,21,27794339,29215525,1
2376,tt0120856,4,2147114,4106520,0
2377,tt0089881,33,2152599,5270394,0
2378,tt0813547,15,20199663,21567985,1
2379,tt0363532,6,7117027,8053324,0
2380,tt0439662,5,15707114,16484963,0
2381,tt0301893,1,2099719,3241731,0
2382,tt0116041,3,2096256,4096599,0
2383,tt0280720,9,24150550,25638203,1
2384,tt0893382,7,16173879,17546360,0
2385,tt0188030,10,2086098,3471668,0
2386,tt0137439,5,2082061,3676390,0
2387,tt1104733,5,4934104,6152251,0
2388,tt0460780,16,13233220,14423807,0
2389,tt0844671,9,6176114,7346469,0
2390,tt1182937,5,10659346,11174684,0
2391,tt0800240,19,12850033,13996453,0
2392,tt1092082,7,4453327,5562403,0
2393,tt1054588,9,4504111,5611608,0
2394,tt1001562,7,4151836,5186903,0
2395,tt0914797,10,4815890,5832700,0
2396,tt0423977,6,5295909,6280730,0
2397,tt0093713,14,2053931,4501038,0
2398,tt0162710,6,2049595,3619063,0
2399,tt0383028,11,4383538,5132136,0
2400,tt0138874,2,2046492,3613582,0
2401,tt0444112,4,2044858,2666036,0
2402,tt0861689,28,20052958,20819166,1
2403,tt0361309,9,2037545,2943120,0
2404,tt0379948,1,2032621,3589094,0
2405,tt1130088,9,3377778,3775021,0
2406,tt1155592,10,5617067,6354528,0
2407,tt1024715,14,4124277,4853875,0
2408,tt0137386,1,2020700,3864742,0
2409,tt0455538,25,12031443,12723401,0
2410,tt0102536,12,2016670,4356982,0
2411,tt0978759,9,6030129,6645460,0
2412,tt0168987,5,2011254,3551367,0
2413,tt0216817,2,2005094,3540486,0
2414,tt0380585,3,2004814,2968191,0
2415,tt1012804,10,2667084,3251660,0
2416,tt0119859,5,1990257,3889455,0
2417,tt1185616,15,13912289,14371672,0
2418,tt0152836,9,1980398,3496883,0
2419,tt0379217,7,3729806,4605866,0
2420,tt0757361,10,2368218,2952986,0
2421,tt0347304,10,11862035,12815093,0
2422,tt0800241,19,6379575,6928944,0
2423,tt0119219,7,1940299,3426074,0
2424,tt1331025,5,7081682,7830345,0
2425,tt0120866,16,2920616,4205521,0
2426,tt0119465,2,1916898,3746087,0
2427,tt1139797,29,12247682,12742693,0
2428,tt1082886,9,3330012,3847826,0
2429,tt0254686,24,32061244,33094780,1
2430,tt2461150,42,30910372,31552474,1
2431,tt1165276,3,1883999,2353683,0
2432,tt0436971,6,1880863,2575771,0
2433,tt0379225,4,4843572,6396237,0
2434,tt0889652,4,4794615,5256515,0
2435,tt0485272,5,1852050,2414661,0
2436,tt0216799,6,1843570,2846262,0
2437,tt0139362,4,1835565,3510661,0
2438,tt1029120,9,1852777,2310315,0
2439,tt0473692,3,2238644,2914048,0
2440,tt0405393,8,11987924,12346145,0
2441,tt0434124,8,8818428,9491750,0
2442,tt0118804,2,1822193,3485087,0
2443,tt0180837,1,1816792,3023491,0
2444,tt0191043,4,1810145,3012422,0
2446,tt0119336,8,1798862,3244727,0
2447,tt0211103,1,1795758,2988481,0
2448,tt0929425,23,37339594,37649099,1
2449,tt0804505,10,2975188,3350885,0
2450,tt1064932,13,247474497,247842873,9
2451,tt0120481,4,1775644,3466214,0
2452,tt0120835,2,1775523,3395827,0
2453,tt0102926,72,275726716,423531740,9
2454,tt0144715,6,3580723,4755519,0
2455,tt1176244,3,2204738,2548736,0
2456,tt0373861,4,3982419,4760943,0
2457,tt0119167,13,8200127,8522877,0
2458,tt0262462,1,1743863,2763684,0
2459,tt0163745,4,1743570,2736020,0
2460,tt0374583,3,1736499,2430009,0
2461,tt0120449,3,1734831,3063273,0
2462,tt0287635,10,28032301,28974477,1
2463,tt0940585,2,3838486,4111467,0
2464,tt0347473,6,1765346,2530875,0
2465,tt0421229,1,3917595,4554293,0
2466,tt0977648,2,2769763,3107883,0
2467,tt0043588,1,1713995,2852415,0
2468,tt0428038,6,1706325,2285063,0
2469,tt0404030,13,2088946,2770116,0
2470,tt0208261,1,1703901,2835614,0
2471,tt0428003,1,1693256,2369497,0
2472,tt0120241,7,1692872,3237748,0
2473,tt0486674,15,2412123,2684096,0
2474,tt0403537,3,1691706,2367327,0
2475,tt0829098,6,2476491,2743548,0
2476,tt0889588,12,356149,402852,0
2477,tt0463872,26,722,722,0
2478,tt0848557,19,5394447,5631931,0
2479,tt1185431,12,3348954,3850036,0
2480,tt0367960,1,1673997,2460014,0
2481,tt0486259,4,989319,1224271,0
2482,tt0467017,1,1667294,2082951,0
2483,tt0361500,8,915840,1144159,0
2484,tt0765120,20,22198996,22415085,1
2485,tt0093776,7,1672572,3813996,0
2486,tt1152850,5,1416046,1591651,0
2487,tt0858486,15,6387498,6710326,0
2489,tt0133385,29,1644060,2902988,0
2490,tt0284363,8,7174984,7328853,0
2491,tt0836700,7,6947001,7269812,0
2492,tt0884224,20,1299855,1444666,0
2493,tt0342167,2,324976,358549,0
2494,tt0119196,6,1626593,3110984,0
2495,tt0421238,18,5313608,6016856,0
2496,tt0444653,26,18114037,18711345,0
2497,tt0314725,5,1615732,2478465,0
2498,tt0326977,12,1615118,2332945,0
2499,tt2193418,17,614,673,0
2500,tt0379976,5,968805,1077100,0
2501,tt0120014,3,1591687,3110545,0
2502,tt0194314,11,1585642,2799842,0
2503,tt0453548,9,414404,514835,0
2504,tt0790657,3,351416,439019,0
2505,tt0780622,10,2350641,2437238,0
2506,tt0361127,11,1566812,2201462,0
2507,tt1213672,2,320896,400896,0
2508,tt0118859,4,1554338,3037556,0
2509,tt0287471,6,1551470,2395295,0
2510,tt1242845,2,1548858,1852431,0
2511,tt0096324,7,1547397,2959517,0
2512,tt0756729,5,1540141,2007997,0
2513,tt0118819,15,1535558,2936877,0
2514,tt0815178,13,7203439,7279081,0
2515,tt0765432,15,16498827,16592170,0
2516,tt0276919,31,14851654,15531817,0
2517,tt0457655,17,1526359,1990030,0
2518,tt0210075,5,1523941,2536124,0
2519,tt0854678,2,304472,372940,0
2520,tt0981072,3,266967,333523,0
2521,tt0303785,1,2056380,2848817,0
2522,tt0298856,8,4289509,5071805,0
2523,tt1144804,8,24320181,24605501,1
2524,tt0445620,9,3357075,3924547,0
2525,tt0240913,7,1450106,2297908,0
2526,tt0203540,4,1439287,2280981,0
2527,tt0303353,2,1699809,2479976,0
2528,tt1073221,1,243768,302450,0
2529,tt0265307,4,1431625,2208351,0
2530,tt0140282,5,1431239,2737357,0
2531,tt0492619,5,234286,292691,0
2532,tt0778784,14,9205935,9638048,0
2533,tt0896866,5,332120,389164,0
2534,tt0283431,3,1418314,2198359,0
2535,tt0404802,7,1779570,2302394,0
2536,tt0806088,2,18429951,18858597,0
2537,tt0456165,4,9287721,9851258,0
2538,tt0451850,3,1409499,1972413,0
2539,tt0426155,2,1397999,1954715,0
2540,tt0816631,1,1386582,1807796,0
2541,tt1069238,19,66143346,66445497,3
2542,tt0136244,3,4976099,6024116,0
2543,tt0808331,15,715704,862227,0
2545,tt0117359,2,1351319,2640813,0
2546,tt0940709,16,47300771,47352294,2
2547,tt1038915,4,2992880,3329494,0
2548,tt0489235,8,173066,216204,0
2549,tt0365125,15,1339668,1935071,0
2550,tt0122529,4,1334786,2552880,0
2552,tt0162866,6,1328435,2228336,0
2553,tt0460611,2,1325092,1771925,0
2554,tt0422528,3,1324244,1847874,0
2555,tt6073552,2,1320112,2092118,0
2556,tt0361693,7,1448701,1974155,0
2557,tt0162903,1,1315573,2172848,0
2558,tt0122642,1,1313607,2512371,0
2559,tt0963194,7,198883,233841,0
2560,tt0332285,4,1310368,1833692,0
2561,tt0923600,3,140016,174915,0
2562,tt0325055,4,2904137,3539056,0
2563,tt1049405,12,507446,536233,0
2564,tt0459605,1,1290212,1682144,0
2565,tt1274295,6,7249589,7501666,0
2566,tt0964539,14,3270974,3298156,0
2567,tt0256408,4,1827627,2576742,0
2569,tt0119791,13,1278516,2445258,0
2570,tt0805570,20,1590246,1608578,0
2571,tt2171902,2,23868,26201,0
2572,tt0299117,7,1839416,2526281,0
2573,tt0758786,7,67505,84327,0
2574,tt0017925,19,1256461,2251156,0
2575,tt0475937,9,1255524,1636917,0
2576,tt1050739,3,2046090,2059849,0
2577,tt0479468,2,1492100,1804251,0
2578,tt0480669,12,564474,573328,0
2579,tt0196106,5,1248746,2078152,0
2580,tt1145144,7,1244676,2071379,0
2581,tt0488414,5,2599402,3059225,0
2582,tt0976247,8,36497,45595,0
2583,tt0275560,2,1238180,1962268,0
2584,tt0893346,4,32033,40015,0
2585,tt0080653,1,14332659,14640552,0
2586,tt0265148,3,1225908,1823610,0
2587,tt0986264,8,11613178,11978443,0
2588,tt0367110,5,2012709,2549024,0
2589,tt0944101,4,52443,59632,0
2590,tt0387412,4,2223844,2767266,0
2591,tt0811136,2,2000043,2442708,0
2592,tt0398842,11,1276994,1725766,0
2593,tt0251739,1,1210967,1973095,0
2594,tt0436364,6,31631,38553,0
2595,tt0780516,18,5000234,5299452,0
2596,tt0903131,1,15198,18981,0
2597,tt1331064,4,1296971,1546679,0
2598,tt0462485,8,22623,26059,0
2599,tt0426931,28,66015869,75553563,3
2600,tt1246587,2,1190000,1665254,0
2601,tt0479528,11,4673377,4675976,0
2603,tt0385878,1,1182372,1707870,0
2604,tt0387059,7,4773308,5243856,0
2605,tt0300015,5,6581445,7153909,0
2606,tt0372279,3,1284079,1805886,0
2607,tt1555149,21,64307758,64320822,3
2608,tt0120788,9,1171001,2239630,0
2609,tt0377038,2,1163450,1680538,0
2610,tt0469690,1,7484,9347,0
2611,tt0118894,3,1161063,2220622,0
2612,tt0449018,3,1159691,1511974,0
2613,tt5310412,1,712172,712172,0
2614,tt2385764,1,1157764,1926738,0
2615,tt1020530,20,4294373,4296192,0
2616,tt0169145,2,1152411,2034862,0
2617,tt0479162,2,26822,28617,0
2618,tt0332639,4,1145190,1703538,0
2619,tt1132620,52,109421911,111296410,5
2620,tt0244316,8,1136776,1831046,0
2621,tt0962736,22,31878891,33529974,1
2622,tt0954990,9,318623,362236,0
2623,tt3397160,9,636475,636475,0
2624,tt0120793,4,1118808,2139802,0
2625,tt0785035,23,7583050,7603131,0
2626,tt0871510,4,14959326,15297588,0
2628,tt0204640,3,1111273,1711862,0
2629,tt0783532,7,10679,11673,0
2630,tt0337930,4,5559100,6052033,0
2631,tt0115669,4,1106935,1945216,0
2632,tt0494834,11,1103075,1438160,0
2633,tt0240402,8,1496037,2137005,0
2634,tt1097643,6,997921,997921,0
2635,tt0488604,13,17704131,17704782,0
2636,tt0116295,4,1084532,2119441,0
2637,tt0961108,10,26931,32202,0
2638,tt0120865,1,1083268,1912772,0
2639,tt0119512,3,1113208,1778114,0
2640,tt0901487,23,42226657,42244238,2
2642,tt2093977,12,1081130,1669138,0
2643,tt0286516,4,7289413,7812337,0
2644,tt1326972,19,119627047,119744017,5
2645,tt0213890,6,1070000,1780680,0
2646,tt0995031,4,15090039,15423522,0
2647,tt1095423,5,5377665,5377665,0
2649,tt1063669,25,35122948,35122948,1
2650,tt0465188,8,1063647,1386753,0
2651,tt0807758,2,21916101,22238965,1
2652,tt5225338,8,28180,29175,0
2653,tt0993789,13,6648639,6909447,0
2654,tt0443649,55,269065678,292695721,9
2655,tt0220100,4,1057750,1760300,0
2656,tt0373788,2,1057599,1527636,0
2657,tt0478087,37,159846429,180079746,7
2658,tt0269499,6,1056063,1630441,0
2659,tt0988595,26,160247805,179396479,8
2660,tt0800308,19,27911453,32943254,1
2661,tt1190617,6,7022183,8770601,0
2662,tt0211492,6,1051811,1666913,0
2663,tt0245891,2,1047553,1660168,0
2664,tt0158539,2,1045907,2000373,0
2665,tt0197096,4,1705143,2399819,0
2666,tt0478197,5,1394254,1780069,0
2667,tt0347246,19,1043896,1507848,0
2668,tt0294662,2,1041228,1602069,0
2669,tt0870195,2,1057128,1315681,0
2671,tt0795441,7,9662214,9733404,0
2672,tt0413300,57,894860230,997091090,9
2673,tt0233687,2,1029591,1713431,0
2674,tt0413267,64,807330936,905366495,9
2675,tt0418279,60,708272592,805252895,9
2676,tt1039995,5,3328191,3584522,0
2677,tt1063628,1,1027636,1339804,0
2678,tt0120275,4,4194038,5141754,0
2679,tt0449088,82,963420425,1057415865,9
2680,tt0373889,72,942943935,1031648862,9
2681,tt0281680,1,1023156,1537539,0
2682,tt0461703,13,1018965,1328502,0
2683,tt0376890,2,1017376,1469537,0
2684,tt0255321,2,1665705,2259880,0
2685,tt0202641,2,1020695,1694929,0
2686,tt0208990,12,11714416,12266144,0
2687,tt0480249,65,585532684,660681396,9
2688,tt0291579,9,1009827,1502179,0
2689,tt0440963,72,442161562,511262507,9
2690,tt0288441,19,1009291,1878148,0
2691,tt0490210,5,17722998,17974559,0
2692,tt0952640,53,362605033,425154635,9
2693,tt0272020,25,20541668,31189847,1
2694,tt0340380,2,1007446,1778895,0
2695,tt0250202,4,1006969,1595844,0
2696,tt0115005,2,1006518,1777253,0
2697,tt0460792,8,1005539,1375639,0
2698,tt0120118,3,1002175,1958492,0
2699,tt0382932,71,626549695,689263557,9
2700,tt0283897,5,1282877,1770767,0
2701,tt0455957,36,1000626,1304588,0
2702,tt0462538,50,527071022,582703603,9
2703,tt0275277,13,1002130,1489410,0
2704,tt0076451,23,1536965,1540379,0
2705,tt0238015,1,995122,1577070,0
2706,tt0486946,27,253555383,304655142,9
2707,tt0795493,43,22478138,22720707,1
2708,tt0120692,5,968506,1852341,0
2709,tt0337578,4,967555,1439290,0
2710,tt0772157,7,1944150,2234841,0
2711,tt0478311,41,219265952,264456658,9
2712,tt0467406,20,231450102,268938338,9
2713,tt1229360,6,1610163,1925751,0
2714,tt1093824,6,1252613,1488186,0
2715,tt0293564,48,256585882,299153214,9
2717,tt1082853,14,2434658,2617850,0
2718,tt0325123,2,2682600,3097549,0
2719,tt0448206,3,7876721,8249141,0
2720,tt0443456,9,930469,1213121,0
2721,tt0125128,2,925756,1786672,0
2722,tt0337978,75,382288147,423155361,9
2723,tt0369053,5,1000260,1369384,0
2724,tt1091229,4,921738,1102395,0
2725,tt0311519,10,921547,1370858,0
2726,tt0386669,9,921364,1330852,0
2727,tt0458072,1,3282269,3561416,0
2728,tt0486576,42,289480691,329555752,9
2729,tt0250081,5,2024522,2520783,0
2730,tt0116481,2,909650,1739776,0
2731,tt0242994,2,907323,1433343,0
2732,tt0084058,3,915264,2583728,0
2733,tt0486358,3,1394989,1726439,0
2734,tt0174204,1,902144,1502224,0
2735,tt0758784,2,902115,1155767,0
2736,tt0461770,46,340384141,378749216,9
2737,tt0829482,36,169955142,206853122,8
2738,tt0381690,9,2767187,3099075,0
2739,tt0332658,6,4560974,4956464,0
2740,tt1305796,2,1662485,1988326,0
2742,tt0433116,2,887416,1215283,0
2743,tt0762107,26,185708462,222078494,9
2744,tt0758053,5,20052456,20321473,1
2745,tt0119901,4,884823,1461222,0
2746,tt0379298,1,884664,1315989,0
2747,tt0116293,9,883973,1727496,0
2748,tt0427327,14,203035572,239146351,9
2749,tt0445934,17,145594548,181621084,7
2750,tt0496806,63,311744465,347330495,9
2751,tt0098063,12,881302,1149021,0
2752,tt1043451,4,17884197,18056653,0
2753,tt0112651,2,879496,1393821,0
2754,tt0259324,40,229545589,264723988,9
2755,tt0413099,41,174131329,204597230,8
2756,tt1091225,1,872427,1089918,0
2757,tt0825232,37,174807445,198156840,8
2758,tt0492956,20,232409,232409,0
2759,tt0203632,7,871058,1380456,0
2760,tt0120521,2,870290,1672053,0
2761,tt1095442,4,1165529,1336326,0
2762,tt0398808,26,137984788,162965794,6
2763,tt0442933,45,195080579,220017109,9
2764,tt0486822,37,118537627,143088732,5
2765,tt0477348,77,164051250,185006198,8
2766,tt0109949,3,855579,1667667,0
2767,tt0363226,25,30874550,31253974,1
2768,tt0856008,5,925353,1183843,0
2769,tt0948535,8,11610575,11777288,0
2770,tt0460829,16,849055,1118200,0
2771,tt0119107,2,848801,1655082,0
2772,tt0887259,1,848139,1161489,0
2773,tt0115886,6,845391,1652104,0
2774,tt0943512,4,840987,1095273,0
2775,tt0387914,5,6982159,7316786,0
2776,tt0472062,26,119512771,138403437,5
2777,tt0110963,9,925820,2023201,0
2778,tt0169102,9,835767,1324528,0
2779,tt0418362,2,833648,1204151,0
2780,tt0890870,29,135759694,154988936,6
2781,tt0411195,9,828699,1145989,0
2782,tt0775539,12,75525718,94164450,3
2783,tt0453467,30,181038616,204536813,9
2784,tt0065889,14,821046,1025145,0
2785,tt0990376,2,817935,1066398,0
2786,tt0436095,4,1188468,1503387,0
2787,tt0058946,24,966071,1330034,0
2788,tt0429177,7,815101,1140625,0
2789,tt0059893,2,815064,1140580,0
2790,tt0423294,44,145395745,163278511,7
2791,tt0295238,1,810314,1245027,0
2792,tt0417658,6,3171021,3469626,0
2793,tt0437407,1,802758,1123358,0
2794,tt0204700,8,92943,140820,0
2795,tt0245837,2,798220,1266304,0
2796,tt0112313,3,796641,1150699,0
2797,tt0077651,56,77514401,95215346,3
2798,tt1124039,17,796716,952865,0
2799,tt0128376,1,793112,1549935,0
2800,tt0906108,7,55934178,72704153,2
2801,tt0116754,3,790078,1544006,0
2802,tt0805184,3,789963,1063743,0
2803,tt0437526,5,1697774,1893636,0
2804,tt0119125,5,784419,1500259,0
2805,tt1114277,1,783969,979407,0
2806,tt0093744,5,779200,1510198,0
2807,tt0431308,31,155769678,170676188,7
2808,tt0207363,2,777477,1359018,0
2809,tt0368658,5,776691,1121887,0
2810,tt0213121,6,774469,1288863,0
2811,tt0246677,8,774317,1195459,0
2812,tt0280491,8,1344,1344,0
2813,tt0119467,2,771091,1506897,0
2814,tt0783233,35,129779728,143532767,6
2815,tt0265208,37,35048,38661,0
2816,tt0160644,7,769009,1279777,0
2817,tt1313104,11,1516214,1686206,0
2818,tt0289635,10,767240,1108235,0
2819,tt0432021,47,146162920,161548923,7
2820,tt0278102,1,763755,1190669,0
2821,tt0928406,4,781016,934064,0
2822,tt1127877,6,1125209,1302625,0
2823,tt0256009,27,755249,1184551,0
2824,tt0323013,2,752344,1086716,0
2825,tt0460810,8,900587,1047700,0
2826,tt0338706,7,128222,159962,0
2827,tt0206917,10,1790840,2227743,0
2828,tt0347791,5,744928,1108118,0
2829,tt0176422,2,743115,1236685,0
2830,tt0937375,4,49733545,64655752,2
2831,tt0384814,5,742614,1016983,0
2832,tt0880502,14,19184629,19369697,0
2833,tt0119657,1,742032,1419189,0
2835,tt1048171,6,957939,1129741,0
2836,tt0455475,4,739690,1035102,0
2837,tt0189630,4,736812,1226190,0
2838,tt0283883,4,736762,1095973,0
2839,tt0174268,8,736592,1230038,0
2840,tt0022873,3,734597,1164189,0
2841,tt0308878,6,1058340,1415353,0
2842,tt0298131,3,6073126,6398258,0
2843,tt0183869,14,729844,1214403,0
2845,tt0308514,2,2440345,2798458,0
2846,tt0120238,5,726207,1419189,0
2847,tt0243255,9,725854,1139262,0
2848,tt0115738,2,720717,1408451,0
2849,tt0080437,25,720074,1377191,0
2850,tt0210717,3,719755,1195656,0
2851,tt0840322,5,719556,898938,0
2852,tt0213524,2,3285156,3568086,0
2853,tt0465538,25,92987651,107345638,4
2854,tt0318068,1,712446,1061438,0
2855,tt0477078,4,712391,928799,0
2856,tt0477071,24,81461343,95997959,4
2857,tt1202539,2,712036,889546,0
2858,tt0364961,9,1140051,1425600,0
2859,tt0431197,48,86509602,100929154,4
2860,tt0219822,4,705308,1088913,0
2861,tt0249371,6,702777,1113760,0
2862,tt1182972,7,7202166,7377212,0
2863,tt0259072,4,701468,1155973,0
2864,tt0172627,6,699964,1235958,0
2865,tt0119527,6,699062,1337005,0
2866,tt0370986,16,2148548,2433391,0
2867,tt0822854,33,95538560,109817256,4
2868,tt0833476,2,8370665,8581838,0
2869,tt0762114,20,70187088,83492550,3
2870,tt0208196,5,731212,1133863,0
2871,tt0459880,7,687414,896229,0
2872,tt0481141,19,91943956,105039252,4
2873,tt0117050,2,686121,1340845,0
2874,tt0489049,14,1073694,1208464,0
2875,tt0246765,1,685082,1085720,0
2876,tt0142634,3,2291229,2564224,0
2877,tt0254481,4,1752408,2084420,0
2878,tt0426578,12,13887199,14138555,0
2879,tt0976026,1,7837674,8043871,0
2880,tt0451833,4,678000,948775,0
2881,tt0490084,24,69538833,82502312,3
2882,tt0985636,4,7025926,7231005,0
2883,tt0923752,8,790985,996008,0
2884,tt0758730,43,128884494,140965356,6
2885,tt0760329,30,103429755,115183928,5
2886,tt0122082,2,673153,1287455,0
2887,tt0469494,50,77208711,87259585,3
2888,tt0389828,2,724084,972851,0
2889,tt0799949,28,86858578,98930559,4
2890,tt0366996,3,669128,966518,0
2891,tt0245046,6,668140,1036546,0
2892,tt0160338,3,668099,1179690,0
2894,tt1178640,6,666045,832084,0
2895,tt0291032,4,5208488,5473848,0
2896,tt4323536,3,66737,66737,0
2897,tt0465494,35,99135571,111167955,4
2899,tt0486655,30,137022245,148758728,6
2900,tt0119248,6,655078,1194849,0
2901,tt0443431,4,654132,895807,0
2902,tt0110305,2,7875911,8116855,0
2903,tt0456396,6,5341053,5581914,0
2904,tt0017136,41,1405032,1771295,0
2905,tt0304229,5,4647054,4936028,0
2906,tt0299478,3,975181,1233023,0
2907,tt0248617,2,645615,1023172,0
2908,tt0172632,2,1387255,1813672,0
2909,tt0386423,3,639990,895583,0
2910,tt0463998,14,812783,812783,0
2911,tt0212380,12,637769,1010740,0
2912,tt0475394,29,57263440,68097027,2
2913,tt0120899,2,635620,1122344,0
2914,tt0425430,18,53774833,64520959,2
2915,tt0216787,7,635282,1006793,0
2916,tt0079075,5,634968,944550,0
2917,tt0765451,3,634379,792526,0
2918,tt0228786,26,60132548,60502460,3
2919,tt1277737,7,1313014,1441561,0
2920,tt0124102,2,631221,1207254,0
2921,tt0481369,26,77593167,88284106,3
2922,tt0292542,10,624153,963620,0
2923,tt0452625,25,59183821,69821339,2
2924,tt0490234,4,16173558,16326578,0
2925,tt0453451,33,234981342,245097841,9
2926,tt0443706,59,83080084,93129114,4
2927,tt0206963,3,621377,984538,0
2928,tt3722070,24,41516445,41887167,2
2929,tt0073580,18,619744,863955,0
2930,tt0119324,3,617403,1206555,0
2931,tt0427309,15,30261293,38995985,1
2932,tt0407263,1,613252,885805,0
2933,tt0236216,5,612192,1018804,0
2934,tt0961066,6,3210825,3330544,0
2935,tt0498399,26,55307857,63984745,2
2936,tt0119910,3,608296,1163409,0
2937,tt0424129,3,607502,850123,0
2938,tt0367959,33,80583311,88988791,4
2939,tt1381407,2,602990,896632,0
2940,tt0473367,9,16869504,17019308,0
2941,tt5034474,30,166339,166339,0
2942,tt0884328,33,57189408,64950194,2
2943,tt0041959,49,1167225,1651908,0
2944,tt0388395,2,4034232,4271882,0
2945,tt0120197,1,592573,1158027,0
2946,tt0479500,9,30703845,38475935,1
2947,tt1294688,21,20048,20048,0
2948,tt0444682,36,62226214,69859023,3
2949,tt0250690,1,590000,981865,0
2950,tt0276816,18,589424,909998,0
2951,tt0209189,4,589114,980394,0
2952,tt0347332,4,587877,849154,0
2953,tt4000670,2,52969,54789,0
2954,tt0462322,9,50187789,57791693,2
2955,tt1139800,3,6016441,6134619,0
2956,tt0138681,1,581142,967127,0
2957,tt0386032,9,36535837,43990121,1
2958,tt4419500,1,580462,897009,0
2960,tt0116930,3,604523,1181385,0
2961,tt0373389,1,577841,850831,0
